,,"US dollar/
Dollar 
SAM

","Japanese Yen/
Yen na Seapáine
",Bulgarian lev/Lev na Bulgáire,"Czech Koruna/
Koruna na Seice
","Danish krone/
Coróin na Danmhairge","Estonian Kroon/
Kroon na hEastóine","Israeli Shekel/
Shekel Iosraelach","Pound Sterling/
Punt Steirling","Hungarian Forint/
Forint na hUngáire","Lithuanian Litas/
Litas na Liotuáine
","Latvian lats/
Lats na Laitvia","Polish Zloty/
Zloty na Polainne","New Romanian Leu /
Leu nua na Rómáine","Swedish Krona/
Coróin na Sualainne","Slovak Koruna/
Koruna Slovakian","Swiss Franc/
Franc na hEilvéise","Icelandic Krona/
Coróin na hÍoslainne
","Norwegian Krone/
Coróin na hIorua","Croatian Kuna/
Kuna na Cróite","Russian Rouble/
Rouble na Rúise","New Turkish Lira/
Lira nua na Tuirce","Australian dollar/
Dollar na hAstráile","Brasilian Real/
Real na Brasaíle","Canadian Dollar/
Dollar Cheanada","Chinese Yuan Renminbi/
Yuan Renminbi na Síne","Hong Kong Dollar/
Dollar Hong Kong","Indonesian Rupiah/
Rupiah na hIndinéise","Indian Rupee/
Rupee na hIndia","South Korean Won/
Won na Cóiré Theas","Mexican Peso/
Peso na Meicsiceo","Malaysian Ringgit/
Ringgit na Malaeisia","New Zealand Dollar/
Dollar na Nua-Shéalainne","Philippine Peso/
Peso na nOileán Filipíneach","Singapore Dollar/
Dollar Singeapóir","Thai Baht/
Baht na Téalainne","South African Rand/
Rand na hAfraice Theas"
,,USD,JPY,BGN,CZK,DKK,EEK,ILS,GBP,HUF,LTL,LVL,PLN,RON,SEK,SKK,CHF,ISK,NOK,HRK,RUB,TRY,AUD,BRL,CAD,CNY,HKD,IDR,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR
,3 Mar 16,1.0901,124.23,1.9558,27.057,7.4565,,4.2402,0.77435,308.94,,,4.3339,4.4584,9.3620,,1.0840,N/A,9.4245,7.6015,80.0845,3.1920,1.4852,4.1949,1.4644,7.1298,8.4755,14427.47,73.3365,1322.61,19.5122,4.4962,1.6257,51.211,1.5158,38.677,17.1245
,4 Mar 16,1.0970,124.77,1.9558,27.058,7.4609,,4.2850,0.77483,309.31,,,4.3313,4.4663,9.3345,,1.0898,N/A,9.3830,7.5940,80.1674,3.2027,1.4859,4.0834,1.4717,7.1480,8.5192,14409.10,73.5910,1319.78,19.5613,4.5100,1.6223,51.325,1.5150,38.823,17.1275
,7 Mar 16,1.0953,124.45,1.9558,27.056,7.4605,,4.2865,0.77438,309.63,,,4.3279,4.4623,9.3309,,1.0962,N/A,9.3583,7.5783,78.7226,3.2014,1.4776,4.1228,1.4652,7.1381,8.5081,14337.48,73.4825,1318.99,19.5274,4.4720,1.6221,51.383,1.5138,38.785,16.8358
,8 Mar 16,1.1028,124.60,1.9558,27.058,7.4614,,4.3113,0.77608,310.19,,,4.3275,4.4651,9.3728,,1.0952,N/A,9.4285,7.5776,79.0929,3.2180,1.4794,4.1690,1.4695,7.1744,8.5656,14494.10,74.2265,1329.87,19.6437,4.5327,1.6302,51.773,1.5259,39.028,16.9485
,9 Mar 16,1.0973,123.63,1.9558,27.047,7.4614,,4.2779,0.77135,309.62,,,4.3149,4.4637,9.2920,,1.0978,N/A,9.3964,7.5620,78.7670,3.1902,1.4650,4.0740,1.4705,7.1466,8.5216,14452.27,73.6840,1329.63,19.5511,4.5147,1.6192,51.417,1.5171,38.724,16.8748
,10 Mar 16,1.0857,123.87,1.9558,27.037,7.4587,,4.2357,0.76728,310.01,,,4.2921,4.4585,9.2361,,1.0941,N/A,9.2926,7.5670,76.4370,3.1292,1.4522,3.9720,1.4424,7.0787,8.4299,14168.19,72.6645,1302.89,19.1827,4.4438,1.6277,50.581,1.5013,38.314,16.3640
,11 Mar 16,1.1090,126.17,1.9558,27.059,7.4598,,4.3022,0.77595,310.28,,,4.3099,4.4669,9.3090,,1.0948,N/A,9.4360,7.5745,77.4590,3.1888,1.4766,4.0401,1.4698,7.2119,8.6069,14484.63,74.3170,1319.89,19.6852,4.5331,1.6578,51.565,1.5271,38.937,16.9023
,14 Mar 16,1.1119,126.36,1.9558,27.050,7.4585,,4.3133,0.77428,310.11,,,4.2837,4.4658,9.2810,,1.0969,N/A,9.4140,7.5650,78.5889,3.2049,1.4755,4.0261,1.4737,7.2230,8.6253,14504.47,74.5653,1318.77,19.7648,4.5746,1.6591,51.785,1.5281,38.961,17.1243
,15 Mar 16,1.1109,125.36,1.9558,27.043,7.4577,,4.3235,0.78358,310.53,,,4.2889,4.4718,9.2421,,1.0954,N/A,9.4800,7.5590,78.7265,3.2128,1.4877,4.1191,1.4832,7.2336,8.6199,14638.88,74.8283,1326.80,19.8474,4.6023,1.6709,51.915,1.5324,39.004,17.6117
,16 Mar 16,1.1064,125.68,1.9558,27.050,7.4565,,4.3171,0.78730,311.43,,,4.3023,4.4765,9.2235,,1.0960,N/A,9.5020,7.5655,78.6080,3.2362,1.4911,4.2224,1.4798,7.2180,8.5875,14679.16,74.3888,1321.98,19.8495,4.6169,1.6809,51.752,1.5315,38.800,17.9375
